Loaded 1000 frames.
Time,I,I_dot,Z_Diagnostic
0.0000,25.0830,-1.1919,1.2260
0.0050,25.0760,-1.4680,1.5096
0.0100,25.0681,-1.7435,1.7924
0.0150,25.0590,-2.0162,2.0720
0.0200,25.0481,-2.2852,2.3474
0.0250,25.0358,-2.5525,2.6207
0.0300,25.0228,-2.8160,2.8897
0.0350,25.0072,-3.0756,3.1541
0.0400,24.9915,-3.3311,3.4140
0.0450,24.9742,-3.5820,3.6686
0.0500,24.9557,-3.8275,3.9171
0.0550,24.9359,-4.0681,4.1601
0.0600,24.9148,-4.3031,4.3967
0.0650,24.8931,-4.5309,4.6254
0.0700,24.8698,-4.7532,4.8478
0.0750,24.8455,-4.9680,5.0619
0.0800,24.8200,-5.1752,5.2676
0.0850,24.7936,-5.3752,5.4654
0.0900,24.7664,-5.5664,5.6536
0.0950,24.7374,-5.7496,5.8328
0.1000,24.7090,-5.9245,6.0033
0.1050,24.6790,-6.0901,6.1637
0.1100,24.6477,-6.2460,6.3134
0.1150,24.6158,-6.3921,6.4527
0.1200,24.5844,-6.5289,6.5824
0.1250,24.5507,-6.6547,6.7000
0.1300,24.5173,-6.7699,6.8068
0.1350,24.4833,-6.8747,6.9026
0.1400,24.4488,-6.9689,6.9873
0.1450,24.4138,-7.0514,7.0599
0.1500,24.3781,-7.1221,7.1203
0.1550,24.3427,-7.1824,7.1701
0.1600,24.3058,-7.2303,7.2069
0.1650,24.2702,-7.2669,7.2329
0.1700,24.2341,-7.2916,7.2466
0.1750,24.1972,-7.3048,7.2487
0.1800,24.1611,-7.3056,7.2387
0.1850,24.1240,-7.2948,7.2168
0.1900,24.0879,-7.2727,7.1843
0.1950,24.0511,-7.2398,7.1408
0.2000,24.0155,-7.1947,7.0859
0.2050,23.9799,-7.1386,7.0201
0.2100,23.9441,-7.0719,6.9441
0.2150,23.9087,-6.9952,6.8588
0.2200,23.8742,-6.9087,6.7642
0.2250,23.8400,-6.8124,6.6603
0.2300,23.8057,-6.7063,6.5471
0.2350,23.7725,-6.5921,6.4267
0.2400,23.7398,-6.4695,6.2985
0.2450,23.7079,-6.3406,6.1647
0.2500,23.6766,-6.2041,6.0240
0.2550,23.6457,-6.0616,5.8780
0.2600,23.6159,-5.9129,5.7265
0.2650,23.5867,-5.7608,5.5723
0.2700,23.5584,-5.6044,5.4146
0.2750,23.5303,-5.4452,5.2545
0.2800,23.5041,-5.2831,5.0924
0.2850,23.4781,-5.1206,4.9303
0.2900,23.4530,-4.9563,4.7670
0.2950,23.4285,-4.7928,4.6049
0.3000,23.4052,-4.6303,4.4444
0.3050,23.3820,-4.4690,4.2852
0.3100,23.3600,-4.3108,4.1297
0.3150,23.3385,-4.1563,3.9780
0.3200,23.3187,-4.0058,3.8307
0.3250,23.2989,-3.8604,3.6886
0.3300,23.2796,-3.7205,3.5519
0.3350,23.2612,-3.5883,3.4230
0.3400,23.2445,-3.4620,3.3002
0.3450,23.2268,-3.3446,3.1858
0.3500,23.2105,-3.2359,3.0801
0.3550,23.1948,-3.1362,2.9833
0.3600,23.1791,-3.0467,2.8962
0.3650,23.1639,-2.9681,2.8196
0.3700,23.1499,-2.9001,2.7533
0.3750,23.1352,-2.8435,2.6978
0.3800,23.1209,-2.7998,2.6547
0.3850,23.1072,-2.7679,2.6230
0.3900,23.0932,-2.7497,2.6041
0.3950,23.0794,-2.7434,2.5966
0.4000,23.0661,-2.7517,2.6030
0.4050,23.0520,-2.7730,2.6215
0.4100,23.0382,-2.8082,2.6532
0.4150,23.0237,-2.8572,2.6978
0.4200,23.0089,-2.9209,2.7562
0.4250,22.9948,-2.9978,2.8269
0.4300,22.9800,-3.0877,2.9099
0.4350,22.9641,-3.1911,3.0052
0.4400,22.9478,-3.3088,3.1138
0.4450,22.9313,-3.4378,3.2329
0.4500,22.9138,-3.5782,3.3624
0.4550,22.8955,-3.7305,3.5027
0.4600,22.8763,-3.8920,3.6512
0.4650,22.8563,-4.0622,3.8076
0.4700,22.8355,-4.2400,3.9705
0.4750,22.8140,-4.4231,4.1382
0.4800,22.7914,-4.6091,4.3078
0.4850,22.7677,-4.7965,4.4782
0.4900,22.7431,-4.9807,4.6452
0.4950,22.7179,-5.1597,4.8066
0.5000,22.6912,-5.3282,4.9577
0.5050,22.6650,-5.4831,5.0958
0.5100,22.6366,-5.6182,5.2148
0.5150,22.6087,-5.7280,5.3100
0.5200,22.5794,-5.8078,5.3770
0.5250,22.5502,-5.8524,5.4114
0.5300,22.5214,-5.8555,5.4074
0.5350,22.4921,-5.8148,5.3630
0.5400,22.4631,-5.7298,5.2780
0.5450,22.4339,-5.5989,5.1510
0.5500,22.4068,-5.4277,4.9877
0.5550,22.3805,-5.2234,4.7946
0.5600,22.3548,-4.9940,4.5788
0.5650,22.3303,-4.7511,4.3513
0.5700,22.3071,-4.5061,4.1225
0.5750,22.2853,-4.2704,3.9029
0.5800,22.2645,-4.0525,3.7002
0.5850,22.2447,-3.8611,3.5221
0.5900,22.2260,-3.6995,3.3717
0.5950,22.2082,-3.5713,3.2522
0.6000,22.1904,-3.4758,3.1626
0.6050,22.1728,-3.4113,3.1014
0.6100,22.1562,-3.3741,3.0653
0.6150,22.1392,-3.3616,3.0516
0.6200,22.1223,-3.3682,3.0554
0.6250,22.1058,-3.3907,3.0735
0.6300,22.0886,-3.4248,3.1021
0.6350,22.0712,-3.4660,3.1370
0.6400,22.0535,-3.5130,3.1770
0.6450,22.0363,-3.5643,3.2210
0.6500,22.0183,-3.6177,3.2666
0.6550,22.0000,-3.6740,3.3147
0.6600,21.9819,-3.7329,3.3651
0.6650,21.9632,-3.7949,3.4180
0.6700,21.9432,-3.8602,3.4737
0.6750,21.9248,-3.9279,3.5316
0.6800,21.9048,-3.9992,3.5924
0.6850,21.8844,-4.0733,3.6556
0.6900,21.8640,-4.1493,3.7203
0.6950,21.8429,-4.2259,3.7853
0.7000,21.8215,-4.3023,3.8500
0.7050,21.7996,-4.3777,3.9135
0.7100,21.7776,-4.4521,3.9760
0.7150,21.7552,-4.5214,4.0338
0.7200,21.7322,-4.5860,4.0871
0.7250,21.7096,-4.6448,4.1351
0.7300,21.6855,-4.6953,4.1755
0.7350,21.6620,-4.7366,4.2075
0.7400,21.6386,-4.7669,4.2299
0.7450,21.6148,-4.7840,4.2404
0.7500,21.5909,-4.7864,4.2378
0.7550,21.5667,-4.7712,4.2196
0.7600,21.5430,-4.7373,4.1850
0.7650,21.5191,-4.6817,4.1313
0.7700,21.4958,-4.6002,4.0550
0.7750,21.4735,-4.4943,3.9575
0.7800,21.4516,-4.3612,3.8365
0.7850,21.4296,-4.1987,3.6898
0.7900,21.4089,-4.0075,3.5183
0.7950,21.3901,-3.7853,3.3204
0.8000,21.3715,-3.5359,3.0989
0.8050,21.3543,-3.2562,2.8515
0.8100,21.3387,-2.9510,2.5824
0.8150,21.3247,-2.6205,2.2916
0.8200,21.3126,-2.2688,1.9830
0.8250,21.3023,-1.9000,1.6599
0.8300,21.2935,-1.5161,1.3239
0.8350,21.2870,-1.1237,0.9810
0.8400,21.2827,-0.7263,0.6340
0.8450,21.2796,-0.3309,0.2888
0.8500,21.2793,0.0577,-0.0504
0.8550,21.2801,0.4339,-0.3787
0.8600,21.2833,0.7920,-0.6913
0.8650,21.2880,1.1277,-0.9845
0.8700,21.2952,1.4362,-1.2542
0.8750,21.3029,1.7148,-1.4981
0.8800,21.3119,1.9616,-1.7143
0.8850,21.3227,2.1753,-1.9020
0.8900,21.3338,2.3550,-2.0602
0.8950,21.3456,2.5036,-2.1915
0.9000,21.3589,2.6225,-2.2969
0.9050,21.3717,2.7132,-2.3777
0.9100,21.3865,2.7791,-2.4372
0.9150,21.3997,2.8232,-2.4774
0.9200,21.4140,2.8493,-2.5020
0.9250,21.4281,2.8598,-2.5129
0.9300,21.4427,2.8581,-2.5131
0.9350,21.4568,2.8451,-2.5034
0.9400,21.4711,2.8236,-2.4861
0.9450,21.4856,2.7953,-2.4629
0.9500,21.4995,2.7610,-2.4343
0.9550,21.5128,2.7210,-2.4005
0.9600,21.5264,2.6767,-2.3629
0.9650,21.5391,2.6267,-2.3202
0.9700,21.5528,2.5722,-2.2735
0.9750,21.5646,2.5130,-2.2223
0.9800,21.5773,2.4490,-2.1671
0.9850,21.5901,2.3800,-2.1072
0.9900,21.6012,2.3067,-2.0433
0.9950,21.6125,2.2287,-1.9753
1.0000,21.6235,2.1479,-1.9046
1.0050,21.6344,2.0642,-1.8313
1.0100,21.6443,1.9766,-1.7545
1.0150,21.6539,1.8884,-1.6769
1.0200,21.6632,1.7976,-1.5969
1.0250,21.6718,1.7070,-1.5171
1.0300,21.6802,1.6146,-1.4356
1.0350,21.6886,1.5213,-1.3531
1.0400,21.6957,1.4266,-1.2693
1.0450,21.7029,1.3292,-1.1831
1.0500,21.7089,1.2284,-1.0936
1.0550,21.7148,1.1245,-1.0014
1.0600,21.7200,1.0164,-0.9053
1.0650,21.7247,0.9034,-0.8048
1.0700,21.7294,0.7838,-0.6985
1.0750,21.7325,0.6581,-0.5865
1.0800,21.7358,0.5276,-0.4703
1.0850,21.7379,0.3908,-0.3484
1.0900,21.7400,0.2501,-0.2230
1.0950,21.7406,0.1063,-0.0947
1.1000,21.7408,-0.0392,0.0350
1.1050,21.7401,-0.1843,0.1643
1.1100,21.7392,-0.3266,0.2912
1.1150,21.7367,-0.4646,0.4141
1.1200,21.7341,-0.5934,0.5289
1.1250,21.7312,-0.7115,0.6340
1.1300,21.7271,-0.8147,0.7258
1.1350,21.7229,-0.9009,0.8025
1.1400,21.7181,-0.9662,0.8605
1.1450,21.7131,-1.0099,0.8992
1.1500,21.7077,-1.0254,0.9128
1.1550,21.7027,-1.0144,0.9028
1.1600,21.6975,-0.9729,0.8656
1.1650,21.6932,-0.9015,0.8019
1.1700,21.6887,-0.7991,0.7107
1.1750,21.6848,-0.6678,0.5939
1.1800,21.6821,-0.5072,0.4510
1.1850,21.6799,-0.3223,0.2865
1.1900,21.6788,-0.1141,0.1014
1.1950,21.6787,0.1127,-0.1002
1.2000,21.6801,0.3551,-0.3157
1.2050,21.6823,0.6094,-0.5419
1.2100,21.6861,0.8725,-0.7759
1.2150,21.6914,1.1405,-1.0145
1.2200,21.6970,1.4119,-1.2562
1.2250,21.7052,1.6830,-1.4980
1.2300,21.7146,1.9525,-1.7386
1.2350,21.7249,2.2181,-1.9760
1.2400,21.7363,2.4783,-2.2090
1.2450,21.7494,2.7318,-2.4363
1.2500,21.7637,2.9792,-2.6587
1.2550,21.7795,3.2190,-2.8748
1.2600,21.7959,3.4510,-3.0842
1.2650,21.8140,3.6776,-3.2895
1.2700,21.8326,3.8983,-3.4900
1.2750,21.8532,4.1150,-3.6876
1.2800,21.8740,4.3223,-3.8772
1.2850,21.8959,4.5214,-4.0600
1.2900,21.9192,4.7080,-4.2321
1.2950,21.9433,4.8765,-4.3884
1.3000,21.9683,5.0231,-4.5255
1.3050,21.9933,5.1438,-4.6394
1.3100,22.0192,5.2307,-4.7232
1.3150,22.0458,5.2837,-4.7767
1.3200,22.0722,5.2999,-4.7970
1.3250,22.0991,5.2800,-4.7847
1.3300,22.1256,5.2239,-4.7395
1.3350,22.1509,5.1349,-4.6640
1.3400,22.1768,5.0165,-4.5618
1.3450,22.2011,4.8726,-4.4358
1.3500,22.2251,4.7076,-4.2903
1.3550,22.2476,4.5250,-4.1281
1.3600,22.2701,4.3286,-3.9530
1.3650,22.2918,4.1242,-3.7700
1.3700,22.3118,3.9128,-3.5801
1.3750,22.3301,3.6969,-3.3853
1.3800,22.3485,3.4813,-3.1905
1.3850,22.3656,3.2664,-2.9959
1.3900,22.3808,3.0541,-2.8031
