Perseus Demo Output
Generated at: Thu Oct  2 07:05:52 EDT 2025
Binary: ./perseus
Demo: Computing Z5D Newton-R prime estimates for n=1 to 100

n=1: Result: nan
n=2: Result: nan
n=3: Result: nan
n=4: Result: 7.71758599173155892860679386635624426141286306165166
n=5: Result: 11.01829278874653644994215935794198431989390443263765
n=6: Result: 14.41703349685138390150445066343418240835267628578375
n=7: Result: 17.94765947756106436044408429422888752178854929279897
n=8: Result: 21.60837043223364357891952988863397228846239287966963
n=9: Result: 25.39016217185722614127516768437712417519449257556071
n=10: Result: 29.28326718550761236664447239483127781873997644741426
n=11: Result: 33.27867123459895175840898573299808539625247555409403
n=12: Result: 37.36840347019137441628328413720400168802671422767376
n=13: Result: 41.54549496971753755654245914726786383297178368426700
n=14: Result: 45.80385553908456025316980267698314573278241154785073
n=15: Result: 50.13814321854963050007587658558968769235665831067636
n=16: Result: 54.54364771628563556160705747769447836382125438258680
n=17: Result: 59.01619197452610875073958796172789016094356248478601
n=18: Result: 63.55205073576746040509111127448415076129064872937318
n=19: Result: 68.14788358168215518259646427717463219233285900211962
n=20: Result: 72.80067984523808448323608655500719381488748236026742
n=21: Result: 77.50771312465295488650325929547772737406980345227218
n=22: Result: 82.26650353084061002970515930020593379571886584257544
n=23: Result: 87.07478616997628860818225804319779059473845017171642
n=24: Result: 91.93048467152754743810304481942025032583590669856731
n=25: Result: 96.83168881956053562576868973780362350028344576174966
n=26: Result: 101.77663554000130308077133942580298652031441880295839
n=27: Result: 106.76369264892045141352354423990736238383434424458080
n=28: Result: 111.79134488592517307063139390829643351344419301103036
n=29: Result: 116.85818184986933918512111502595681346547436523024580
n=30: Result: 121.96288752723000861604106757205307380442045035721195
n=31: Result: 127.10423116120838928378805442678484421869427373218827
n=32: Result: 132.28105925538893755787881319846955207404418535858684
n=33: Result: 137.49228854230054639649369995005827716073226195891470
n=34: Result: 142.73689977650760363552837309644484553735476582197673
n=35: Result: 148.01393223547777022641530701244544011442999044538866
n=36: Result: 153.32247883062817171390373991948621119910938941701562
n=37: Result: 158.66168174656934335748764494114971682472784502413242
n=38: Result: 164.03072853936605753479143340244147862237119985174830
n=39: Result: 169.42884863517713442794134098188693494084976491407600
n=40: Result: 174.85531017936236557681310512440489450591366770298976
n=41: Result: 180.30941719340044355871941494529389387493968925503002
n=42: Result: 185.79050700302193813705844806791987535577226016224233
n=43: Result: 191.29794790604458315247765861381480150174567011887120
n=44: Result: 196.83113705267944535349083904610101594092453189632677
n=45: Result: 202.38949851469666151589975816848800855488207917387090
n=46: Result: 207.97248152291204564312208854849702295089039389942499
n=47: Result: 213.57955885507325450671186846001081826823269533754039
n=48: Result: 219.21022535846157307297246970801000749646484206976252
n=49: Result: 224.86399659344431601804663243256445925680992985129814
n=50: Result: 230.54040758586395235458602946818102865548915994266886
n=51: Result: 236.23901167757511829763697947269010110218726576452880
n=52: Result: 241.95937946567429376521987433450069814742961965699842
n=53: Result: 247.70109782203785454371454966571571219193286142539037
n=54: Result: 253.46376898571648659337577696759748917157722908431120
n=55: Result: 259.24700972154766736163219567339839571022564044979625
n=56: Result: 265.05045053905997338293277544729516448039229246089195
n=57: Result: 270.87373496636760131069060041338909867605415182684807
n=58: Result: 276.71651887430272812141012443200931207463493877652185
n=59: Result: 282.57846984651739322038057839464364382797292212349348
n=60: Result: 288.45926659171414184321970781219706928697078622949736
n=61: Result: 294.35859839454312935555710469519966339051074820587759
n=62: Result: 300.27616460203908137436933392876371097346658430487119
n=63: Result: 306.21167414276986387478933541356900048746706006161073
n=64: Result: 312.16484507613410721142893277874565402731387109890141
n=65: Result: 318.13540416948236958025553979039104011532962433329048
n=66: Result: 324.12308650094819239326707849194903789086122561213251
n=67: Result: 330.12763508606509962980596704613247092291702676707068
n=68: Result: 336.14880052641573496375101673514382848125547722987089
n=69: Result: 342.18634067871218359796839204325560285787365076798365
n=70: Result: 348.24002034284406780945015434070658323543807199552354
n=71: Result: 354.30961096755496309009827509320014572232643330532394
n=72: Result: 360.39489037251956643671063452148668619057263460824944
n=73: Result: 366.49564248569518443639158481134468976228816788808543
n=74: Result: 372.61165709491265977331474694095703698122315308380951
n=75: Result: 378.74272961275484441968244142839923893116824396149017
n=76: Result: 384.88866085384605852147601966818937301157769328464546
n=77: Result: 391.04925682374444273926222469081764413340448759528679
n=78: Result: 397.22432851869142341882628261380151243833052096063111
n=79: Result: 403.41369173552928893172045257288364385328500751303842
n=80: Result: 409.61716689114967600111284377810800405078918048153176
n=81: Result: 415.83457885088307933182284254114643326273575435570764
n=82: Result: 422.06575676528276479345070165519353856902251618411696
n=83: Result: 428.31053391479607656486227207835572852652011043288826
n=84: Result: 434.56874756185243091433245962733880326099923475682080
n=85: Result: 440.84023880993059555049393229331079432630361864627589
n=86: Result: 447.12485246919844293845645535502819346497355424585364
n=87: Result: 453.42243692834648891237257578102530573351526076048867
n=88: Result: 459.73284403226240897544163887560265253739356829772959
n=89: Result: 466.05592896521756575500924620489798088470866751607479
n=90: Result: 472.39155013925856384784456678888858155687983201843172
n=91: Result: 478.73956908751713642688930671513946650420684564501553
n=92: Result: 485.09985036217040912639262430961309332526420435166743
n=93: Result: 491.47226143680091420716542719277635819329784296803679
n=94: Result: 497.85667261292176237101968471060107937154550925800190
n=95: Result: 504.25295693044722994784165253295848077454015717904710
n=96: Result: 510.66099008190278437907552157975131837285001026242417
n=97: Result: 517.08065033018134063861043327689864561843240431446109
n=98: Result: 523.51181842966439688801837779097264922017894744709845
n=99: Result: 529.95437755053771326496315338856091070138765316524678
n=100: Result: 536.40821320614144058643968445889304359820590740991704

Demo complete. Results saved to perseus_demo.sh_20251002_070552.txt
