# LIS-Corrector Z5D Performance Analysis - Cosmic Scale Edition
# Z Framework: Empirical prime prediction across 18 orders of magnitude
# Testing range: n=10^1 to n=10^18 (1 quintillion scale)
# Author: Dionisio Alberto Lopez III (D.A.L. III)

Hardware Configuration:
======================
CPU: Apple M1 Max
Cores: 10
Memory: 32GB
Architecture: arm64
OS: Darwin 24.6.0

n,p_true,z5d_seed,baseline,mr_calls,reduction_pct,z5d_accuracy_pct,verified,elapsed_s
10,29,16,4,4,0.00,55.17,1,0.000
100,541,505,150,95,36.67,93.35,1,0.000
1000,7919,7847,1326,857,35.37,99.09,1,0.000
10000,104729,104633,1329,848,36.19,99.91,1,0.001
100000,1299709,1299807,2660,1704,35.94,99.99,1,0.001
1000000,15485863,15485845,26659,17098,35.86,100.00,1,0.014
10000000,179424673,179424717,26660,17101,35.86,100.00,1,0.015
100000000,2038074743,2038074171,266658,171015,35.87,100.00,1,0.198
200000000,4222234741,4222236246,266662,171014,35.87,100.00,1,0.206
300000000,6461335109,6461332425,266665,171024,35.87,100.00,1,0.258
500000000,11037271757,11037271180,266663,171018,35.87,100.00,1,0.283
750000000,16995849321,16875066083,266659,171017,35.87,99.29,1,0.273
1000000000,22801763489,22801755584,266665,171025,35.87,100.00,1,0.299
10000000000,252097800623,252092175252,266665,171019,35.87,100.00,1,0.309
100000000000,2760727302517,2760794661642,266665,171027,35.86,100.00,1,0.337
1000000000000,29996224275833,29996580321737,266665,171022,35.87,100.00,1,0.342
# Testing sequential prediction accuracy around tera-scale (n=10^12 ± 50)
999999999950,29996224274147,29996580320185,266659,171020,35.87,100.00,1,0.343
999999999955,29996224274329,29996580320340,266661,171023,35.87,100.00,1,0.343
999999999960,29996224274509,29996580320496,266662,171018,35.87,100.00,1,0.338
999999999965,29996224274663,29996580320651,266665,171023,35.87,100.00,1,0.342
999999999970,29996224274789,29996580320806,266665,171025,35.87,100.00,1,0.337
999999999975,29996224274987,29996580320961,266658,171019,35.87,100.00,1,0.342
999999999980,29996224275167,29996580321116,266659,171022,35.86,100.00,1,0.341
999999999985,29996224275253,29996580321271,266661,171025,35.86,100.00,1,0.339
999999999990,29996224275497,29996580321426,266662,171027,35.86,100.00,1,0.342
999999999995,29996224275671,29996580321582,266665,171025,35.87,100.00,1,0.340
1000000000000,29996224275833,29996580321737,266665,171022,35.87,100.00,1,0.342
1000000000005,29996224275937,29997403850543,266659,171025,35.86,100.00,1,0.334
1000000000010,29996224276091,29997403850698,266660,171022,35.87,100.00,1,0.334
1000000000015,29996224276349,29997403850853,266662,171021,35.87,100.00,1,0.334
1000000000020,29996224276549,29997403851008,266662,171024,35.86,100.00,1,0.334
1000000000025,29996224276727,29997403851163,266665,171024,35.87,100.00,1,0.324
1000000000030,29996224276937,29997403851318,266665,171024,35.87,100.00,1,0.334
1000000000035,29996224277077,29997403851474,266659,171018,35.87,100.00,1,0.331
1000000000040,29996224277293,29997403851629,266661,171019,35.87,100.00,1,0.337
1000000000045,29996224277557,29997403851784,266662,171022,35.87,100.00,1,0.330
1000000000050,29996224277653,29997403851939,266663,171027,35.86,100.00,1,0.329
# Dense sampling around verified mega-scale points
# Sequential testing around n=1000000
999990,15485747,15485680,2663,1709,35.82,100.00,1,0.001
999992,15485773,15485713,2665,1709,35.87,100.00,1,0.001
999994,15485801,15485746,2665,1706,35.98,100.00,1,0.001
999996,15485837,15485779,2665,1708,35.91,100.00,1,0.001
999998,15485849,15485812,2658,1701,36.00,100.00,1,0.001
1000000,15485863,15485845,26659,17098,35.86,100.00,1,0.014
1000002,15485917,15485879,26661,17100,35.86,100.00,1,0.014
1000004,15485933,15485912,26661,17099,35.87,100.00,1,0.016
1000006,15485959,15485945,26662,17101,35.86,100.00,1,0.014
1000008,15485993,15485978,26662,17103,35.85,100.00,1,0.014
1000010,15486041,15486011,26665,17104,35.86,100.00,1,0.014
# Sequential testing around n=10000000
9999990,179424533,179424527,26665,17105,35.85,100.00,1,0.015
9999992,179424571,179424565,26659,17099,35.86,100.00,1,0.015
9999994,179424601,179424603,26662,17101,35.86,100.00,1,0.015
9999996,179424617,179424641,26665,17106,35.85,100.00,1,0.015
9999998,179424667,179424679,26665,17107,35.84,100.00,1,0.015
10000000,179424673,179424717,266660,171018,35.87,100.00,1,0.172
10000002,179424697,179419849,266665,171024,35.87,100.00,1,0.171
10000004,179424731,179419887,266660,171023,35.86,100.00,1,0.172
10000006,179424779,179419925,266662,171025,35.86,100.00,1,0.172
10000008,179424793,179419963,266665,171024,35.87,100.00,1,0.170
10000010,179424799,179420001,266658,171022,35.86,100.00,1,0.169
# Sequential testing around n=100000000
99999990,2038074503,2038073956,266665,171021,35.87,100.00,1,0.200
99999992,2038074547,2038073999,266661,171020,35.87,100.00,1,0.200
99999994,2038074593,2038074042,266665,171020,35.87,100.00,1,0.200
99999996,2038074659,2038074085,266659,171016,35.87,100.00,1,0.199
99999998,2038074713,2038074128,266662,171020,35.87,100.00,1,0.198
100000000,2038074743,2038074171,266658,171015,35.87,100.00,1,0.200
100000002,2038074761,2038074213,266662,171020,35.87,100.00,1,0.201
100000004,2038074793,2038074256,266665,171021,35.87,100.00,1,0.200
100000006,2038074817,2038074299,266661,171018,35.87,100.00,1,0.198
100000008,2038074923,2038074342,266665,171023,35.87,100.00,1,0.198
100000010,2038074947,2038074385,266659,171016,35.87,100.00,1,0.198
# Testing n=10^6 neighborhood (verified anchor)
999990,15485747,15485680,2663,1709,35.82,100.00,1,0.001
999995,15485807,15485763,2662,1706,35.91,100.00,1,0.001
1000000,15485863,15485845,26659,17098,35.86,100.00,1,0.014
1000005,15485941,15485928,26665,17102,35.86,100.00,1,0.014
1000010,15486041,15486011,26665,17104,35.86,100.00,1,0.014
# Testing n=10^9 neighborhood (giga-scale verified anchor)
999999990,22801763239,22801755345,266665,171021,35.87,100.00,1,0.295
999999995,22801763323,22801755465,266665,171023,35.87,100.00,1,0.303
1000000000,22801763489,22801755584,266665,171025,35.87,100.00,1,0.278
1000000005,22801763557,22801755703,266665,171022,35.87,100.00,1,0.278
1000000010,22801763707,22801755822,266665,171024,35.87,100.00,1,0.285
# Testing n=10^10 neighborhood (historical APL 1994 anchor)
9999999990,252097800337,252092174989,266665,171023,35.87,100.00,1,0.304
9999999995,252097800439,252092175120,266661,171019,35.87,100.00,1,0.304
10000000000,252097800623,252092175252,266665,171019,35.87,100.00,1,0.306
10000000005,252097800743,252106495966,266665,171022,35.87,100.00,1,0.304
10000000010,252097800907,252106496097,266660,171019,35.87,100.00,1,0.307
10000000000000,0,323790345112135,266659,171019,35.87,0.00,0,0.363
100000000000000,0,3475465630669687,266662,171020,35.87,0.00,0,0.377
1000000000000000,0,37125133196465568,266665,171020,35.87,0.00,0,0.406
10000000000000000,0,394911514682028160,266663,171026,35.86,0.00,0,0.488
100000000000000000,0,4185326618384362496,266659,171019,35.87,0.00,0,0.456
1000000000000000000,0,18446744073709551615,0,0,0.00,0.00,0,0.001
