generation_time,p,q,replicate,seed,success,time_seconds,total_time,trials,unique_count
0.0003421306610107422,29,31,0,42,True,5.4836273193359375e-06,0.0003476142883300781,34,34
9.799003601074219e-05,29,31,1,43,True,4.76837158203125e-06,0.00010275840759277344,31,31
7.653236389160156e-05,29,31,2,44,True,4.291534423828125e-06,8.082389831542969e-05,33,33
7.081031799316406e-05,29,31,3,45,True,4.0531158447265625e-06,7.486343383789062e-05,31,31
7.224082946777344e-05,29,31,4,46,True,4.0531158447265625e-06,7.62939453125e-05,31,31
7.200241088867188e-05,29,31,5,47,True,3.814697265625e-06,7.581710815429688e-05,29,29
7.009506225585938e-05,29,31,6,48,True,4.291534423828125e-06,7.43865966796875e-05,31,31
6.771087646484375e-05,29,31,7,49,True,4.0531158447265625e-06,7.176399230957031e-05,31,31
9.703636169433594e-05,29,31,8,50,True,4.0531158447265625e-06,0.0001010894775390625,32,32
6.771087646484375e-05,29,31,9,51,True,3.814697265625e-06,7.152557373046875e-05,30,30
6.771087646484375e-05,29,31,10,52,True,3.814697265625e-06,7.152557373046875e-05,31,31
7.176399230957031e-05,29,31,11,53,True,3.814697265625e-06,7.557868957519531e-05,30,30
6.914138793945312e-05,29,31,12,54,True,4.291534423828125e-06,7.343292236328125e-05,32,32
6.67572021484375e-05,29,31,13,55,True,3.814697265625e-06,7.05718994140625e-05,32,32
6.580352783203125e-05,29,31,14,56,True,4.291534423828125e-06,7.009506225585938e-05,32,32
6.771087646484375e-05,29,31,15,57,True,4.0531158447265625e-06,7.176399230957031e-05,32,32
6.628036499023438e-05,29,31,16,58,True,4.291534423828125e-06,7.05718994140625e-05,32,32
6.67572021484375e-05,29,31,17,59,True,4.0531158447265625e-06,7.081031799316406e-05,33,33
7.843971252441406e-05,29,31,18,60,True,3.814697265625e-06,8.225440979003906e-05,31,31
6.580352783203125e-05,29,31,19,61,True,3.814697265625e-06,6.961822509765625e-05,30,30
6.628036499023438e-05,29,31,20,62,True,9.059906005859375e-06,7.534027099609375e-05,32,32
9.250640869140625e-05,29,31,21,63,True,4.291534423828125e-06,9.679794311523438e-05,32,32
6.699562072753906e-05,29,31,22,64,True,4.76837158203125e-06,7.176399230957031e-05,34,34
6.747245788574219e-05,29,31,23,65,True,3.814697265625e-06,7.128715515136719e-05,31,31
6.532669067382812e-05,29,31,24,66,True,4.0531158447265625e-06,6.937980651855469e-05,32,32
7.271766662597656e-05,29,31,25,67,True,4.5299530029296875e-06,7.724761962890625e-05,33,33
6.937980651855469e-05,29,31,26,68,True,4.291534423828125e-06,7.367134094238281e-05,32,32
6.651878356933594e-05,29,31,27,69,True,4.291534423828125e-06,7.081031799316406e-05,36,36
6.771087646484375e-05,29,31,28,70,True,4.0531158447265625e-06,7.176399230957031e-05,31,31
6.723403930664062e-05,29,31,29,71,True,4.291534423828125e-06,7.152557373046875e-05,34,34
6.580352783203125e-05,29,31,30,72,True,4.0531158447265625e-06,6.985664367675781e-05,31,31
8.630752563476562e-05,29,31,31,73,True,4.291534423828125e-06,9.059906005859375e-05,32,32
6.651878356933594e-05,29,31,32,74,True,5.0067901611328125e-06,7.152557373046875e-05,33,33
6.747245788574219e-05,29,31,33,75,True,3.814697265625e-06,7.128715515136719e-05,33,33
6.580352783203125e-05,29,31,34,76,True,3.5762786865234375e-06,6.937980651855469e-05,31,31
6.914138793945312e-05,29,31,35,77,True,4.0531158447265625e-06,7.319450378417969e-05,32,32
6.747245788574219e-05,29,31,36,78,True,3.814697265625e-06,7.128715515136719e-05,29,29
6.699562072753906e-05,29,31,37,79,True,4.291534423828125e-06,7.128715515136719e-05,33,33
6.651878356933594e-05,29,31,38,80,True,4.0531158447265625e-06,7.05718994140625e-05,32,32
6.628036499023438e-05,29,31,39,81,True,4.0531158447265625e-06,7.033348083496094e-05,34,34
6.628036499023438e-05,29,31,40,82,True,4.0531158447265625e-06,7.033348083496094e-05,33,33
7.295608520507812e-05,29,31,41,83,True,4.0531158447265625e-06,7.700920104980469e-05,31,31
6.651878356933594e-05,29,31,42,84,True,4.0531158447265625e-06,7.05718994140625e-05,34,34
6.604194641113281e-05,29,31,43,85,True,3.814697265625e-06,6.985664367675781e-05,30,30
9.489059448242188e-05,29,31,44,86,True,4.291534423828125e-06,9.918212890625e-05,34,34
6.532669067382812e-05,29,31,45,87,True,3.5762786865234375e-06,6.890296936035156e-05,30,30
6.604194641113281e-05,29,31,46,88,True,4.291534423828125e-06,7.033348083496094e-05,33,33
6.556510925292969e-05,29,31,47,89,True,4.0531158447265625e-06,6.961822509765625e-05,33,33
6.699562072753906e-05,29,31,48,90,True,4.0531158447265625e-06,7.104873657226562e-05,34,34
6.604194641113281e-05,29,31,49,91,True,4.0531158447265625e-06,7.009506225585938e-05,32,32
