id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,260,MetaSelection,4171,8,false,0,0.00
id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,200,ResidueFilter,2434,3,false,2434,7.32
1,200,ResidueFilter,2501,2,false,2501,7.53
2,200,ResidueFilter,2525,2,false,2525,7.61
3,200,ResidueFilter,2503,2,false,2503,7.53
4,200,ResidueFilter,2459,1,false,2459,7.41
0,210,ResidueFilter,2483,2,false,2483,7.12
1,210,ResidueFilter,2507,2,false,2507,7.18
2,210,ResidueFilter,2490,2,false,2490,7.13
3,210,ResidueFilter,2503,2,false,2503,7.17
4,210,ResidueFilter,2493,2,false,2493,7.14
0,220,ResidueFilter,2540,1,false,2540,6.95
1,220,ResidueFilter,2527,1,false,2527,6.91
2,220,ResidueFilter,2488,2,false,2488,6.81
3,220,ResidueFilter,2487,1,false,2487,6.81
4,220,ResidueFilter,2545,2,false,2545,6.96
0,230,ResidueFilter,2434,2,false,2434,6.37
1,230,ResidueFilter,2527,2,false,2527,6.62
2,230,ResidueFilter,2497,3,false,2497,6.53
3,230,ResidueFilter,2546,2,false,2546,6.66
4,230,ResidueFilter,2493,1,false,2493,6.53
0,240,ResidueFilter,2483,2,false,2483,6.22
1,240,ResidueFilter,2465,2,false,2465,6.18
2,240,ResidueFilter,2488,1,false,2488,6.24
3,240,ResidueFilter,2487,2,false,2487,6.23
4,240,ResidueFilter,2493,2,false,2493,6.26
0,245,ResidueFilter,2483,2,false,2483,6.10
1,245,ResidueFilter,2527,2,false,2527,6.22
2,245,ResidueFilter,2490,2,false,2490,6.13
3,245,ResidueFilter,2487,1,false,2487,6.12
4,245,ResidueFilter,2493,1,false,2493,6.13
0,248,ResidueFilter,2434,1,false,2434,5.91
1,248,ResidueFilter,2501,2,false,2501,6.07
2,248,ResidueFilter,2488,2,false,2488,6.04
3,248,ResidueFilter,2464,2,false,2464,5.98
4,248,ResidueFilter,2545,2,false,2545,6.18
0,250,ResidueFilter,2540,2,false,2540,6.11
1,250,ResidueFilter,2501,2,false,2501,6.03
2,250,ResidueFilter,2488,2,false,2488,6.00
3,250,ResidueFilter,2503,2,false,2503,6.02
4,250,ResidueFilter,2493,1,false,2493,6.01
0,252,ResidueFilter,2434,2,false,2434,5.82
1,252,ResidueFilter,2501,2,false,2501,5.97
2,252,ResidueFilter,2525,2,false,2525,6.03
3,252,ResidueFilter,2503,2,false,2503,5.97
4,252,ResidueFilter,2545,2,false,2545,6.07
0,254,ResidueFilter,2543,2,false,2543,6.03
1,254,ResidueFilter,2465,2,false,2465,5.84
2,254,ResidueFilter,2488,1,false,2488,5.90
3,254,ResidueFilter,2503,2,false,2503,5.94
4,254,ResidueFilter,2493,2,false,2493,5.91
0,256,ResidueFilter,2543,2,false,2543,5.98
1,256,ResidueFilter,2527,2,false,2527,5.95
2,256,ResidueFilter,2488,1,false,2488,5.85
3,256,ResidueFilter,2487,2,false,2487,5.84
4,256,ResidueFilter,2545,2,false,2545,5.98
0,258,ResidueFilter,2434,2,false,2434,5.67
1,258,ResidueFilter,2527,2,false,2527,5.89
2,258,ResidueFilter,2497,2,false,2497,5.82
3,258,ResidueFilter,2503,2,false,2503,5.83
4,258,ResidueFilter,2493,2,false,2493,5.81
0,260,ResidueFilter,2483,2,false,2483,5.75
1,260,ResidueFilter,2507,2,false,2507,5.80
2,260,ResidueFilter,2525,1,false,2525,5.84
3,260,ResidueFilter,2464,2,false,2464,5.70
4,260,ResidueFilter,2493,2,false,2493,5.78
