n,expected,c,python,java,status,time_ms_c,time_ms_py,time_ms_java,seed,mpfr,gmp,cflags,pythonhashseed
1,2,2,2,2,PASS,316.01500511169434,154.71792221069336,59.77606773376465,1337,unknown,unknown,"",0
10,29,29,29,29,PASS,33.95724296569824,109.2379093170166,55.55415153503418,1337,unknown,unknown,"",0
100,541,541,541,541,PASS,33.12206268310547,112.90287971496582,56.76889419555664,1337,unknown,unknown,"",0
1000,7919,7919,7919,7919,PASS,32.167911529541016,111.9232177734375,57.46006965637207,1337,unknown,unknown,"",0
10000,104729,104729,104729,104729,PASS,30.189990997314453,118.95322799682617,56.52308464050293,1337,unknown,unknown,"",0
100000,1299709,1299709,1299709,1299709,PASS,29.508113861083984,115.80586433410645,63.45796585083008,1337,unknown,unknown,"",0
1000000,15485863,15485863,15485863,15485863,PASS,32.561302185058594,134.9036693572998,71.1507797241211,1337,unknown,unknown,"",0
10000000,179424673,179424673,179424673,179424673,PASS,34.842729568481445,113.02709579467773,61.01727485656738,1337,unknown,unknown,"",0
100000000,2038074743,2038074743,2038074743,2038074743,PASS,35.462141036987305,118.35217475891113,57.0068359375,1337,unknown,unknown,"",0
1000000000,22801763489,22801763489,22801763489,22801763489,PASS,30.45034408569336,110.06593704223633,55.25708198547363,1337,unknown,unknown,"",0
10000000000,252097800623,252097800623,252097800623,252097800623,PASS,31.18300437927246,107.32793807983398,57.817935943603516,1337,unknown,unknown,"",0
100000000000,2760727302517,2760727302517,2760727302517,2760727302517,PASS,36.00001335144043,111.12022399902344,56.04982376098633,1337,unknown,unknown,"",0
1000000000000,29996224275833,29996224275833,29996224275833,29996224275833,PASS,31.716108322143555,109.28797721862793,57.41477012634277,1337,unknown,unknown,"",0
10000000000000,323780508946331,323780508946331,323780508946331,323780508946331,PASS,29.29377555847168,110.65220832824707,63.78889083862305,1337,unknown,unknown,"",0
100000000000000,3475385758524527,3475385758524527,3475385758524527,3475385758524527,PASS,30.318260192871094,112.08009719848633,81.61473274230957,1337,unknown,unknown,"",0
1000000000000000,37124508045065437,37124508045065437,37124508045065437,37124508045065437,PASS,70.35279273986816,146.64006233215332,79.25987243652344,1337,unknown,unknown,"",0
10000000000000000,394906913903735329,394906913903735329,394906913903735329,394906913903735329,PASS,46.67401313781738,149.0950584411621,82.09514617919922,1337,unknown,unknown,"",0
100000000000000000,4185296581467695669,4185296581467695669,4185296581467695669,4185296581467695669,PASS,36.69905662536621,169.59214210510254,80.69777488708496,1337,unknown,unknown,"",0
1000000000000000000,44211790234832169331,44211790234832169331,44211790234832169331,44211790234832169331,PASS,45.256853103637695,133.2080364227295,70.65200805664062,1337,unknown,unknown,"",0
