n,expected,c,python,java,status,time_ms_c,time_ms_py,time_ms_java,seed,mpfr,gmp,cflags,pythonhashseed
1,2,2,2,2,PASS,198.67992401123047,143.6610221862793,70.95885276794434,1337,unknown,unknown,"",0
10,29,29,29,29,PASS,35.093069076538086,140.86222648620605,68.01795959472656,1337,unknown,unknown,"",0
100,541,541,541,541,PASS,34.307003021240234,147.86887168884277,74.72109794616699,1337,unknown,unknown,"",0
1000,7919,7919,7919,7919,PASS,37.03022003173828,147.34482765197754,73.78721237182617,1337,unknown,unknown,"",0
10000,104729,104729,104729,104729,PASS,33.97774696350098,144.04702186584473,68.38083267211914,1337,unknown,unknown,"",0
100000,1299709,1299709,1299709,1299709,PASS,36.63516044616699,140.20824432373047,68.76397132873535,1337,unknown,unknown,"",0
1000000,15485863,15485863,15485863,15485863,PASS,34.39784049987793,141.12186431884766,73.24385643005371,1337,unknown,unknown,"",0
10000000,179424673,179424673,179424673,179424673,PASS,38.02299499511719,148.4999656677246,70.526123046875,1337,unknown,unknown,"",0
100000000,2038074743,2038074743,2038074743,2038074743,PASS,34.027814865112305,143.04614067077637,70.51801681518555,1337,unknown,unknown,"",0
1000000000,22801763489,22801763489,22801763489,22801763489,PASS,33.1571102142334,138.7479305267334,71.72894477844238,1337,unknown,unknown,"",0
10000000000,252097800623,252097800623,252097800623,252097800623,PASS,35.8881950378418,141.24584197998047,71.97904586791992,1337,unknown,unknown,"",0
100000000000,2760727302517,2760727302517,2760727302517,2760727302517,PASS,34.926652908325195,141.73507690429688,66.86735153198242,1337,unknown,unknown,"",0
1000000000000,29996224275833,29996224275833,29996224275833,29996224275833,PASS,33.5080623626709,138.69595527648926,69.84114646911621,1337,unknown,unknown,"",0
10000000000000,323780508946331,323780508946331,323780508946331,323780508946331,PASS,33.51306915283203,144.21987533569336,70.91093063354492,1337,unknown,unknown,"",0
100000000000000,3475385758524527,3475385758524527,3475385758524527,3475385758524527,PASS,32.16409683227539,139.93406295776367,68.55916976928711,1337,unknown,unknown,"",0
1000000000000000,37124508045065437,37124508045065437,37124508045065437,37124508045065437,PASS,37.39500045776367,143.76091957092285,68.40324401855469,1337,unknown,unknown,"",0
10000000000000000,394906913903735329,394906913903735329,394906913903735329,394906913903735329,PASS,34.35492515563965,140.43879508972168,69.91195678710938,1337,unknown,unknown,"",0
100000000000000000,4185296581467695669,4185296581467695669,4185296581467695669,4185296581467695669,PASS,34.14797782897949,139.48702812194824,69.7469711303711,1337,unknown,unknown,"",0
1000000000000000000,44211790234832169331,44211790234832169331,44211790234832169331,44211790234832169331,PASS,34.60097312927246,142.1070098876953,69.17023658752441,1337,unknown,unknown,"",0
